department,commodity_desc,week_no,weekly_sales_value
DELI,DELI SPECIALTIES (RETAIL PK),93,6.37
DELI,DELI SPECIALTIES (RETAIL PK),94,10.06
DELI,DELI SPECIALTIES (RETAIL PK),95,10.97
DELI,DELI SPECIALTIES (RETAIL PK),96,2.89
DELI,DELI SPECIALTIES (RETAIL PK),97,0.0
DELI,DELI SPECIALTIES (RETAIL PK),98,0.59
DELI,DELI SPECIALTIES (RETAIL PK),99,4.58
DELI,DELI SPECIALTIES (RETAIL PK),100,6.88
DELI,DELI SPECIALTIES (RETAIL PK),101,6.88
DELI,DELI SPECIALTIES (RETAIL PK),102,12.25
DELI,DELI SUPPLIES,1,5.99
DELI,DELI SUPPLIES,2,2.23
DELI,DELI SUPPLIES,4,5.99
DELI,DELI SUPPLIES,6,3.0
DELI,DELI SUPPLIES,7,2.0
DELI,DELI SUPPLIES,9,4.0
DELI,DELI SUPPLIES,10,14.98
DELI,DELI SUPPLIES,12,4.99
DELI,DELI SUPPLIES,13,2.49
DELI,DELI SUPPLIES,14,8.67
DELI,DELI SUPPLIES,15,20.11
DELI,DELI SUPPLIES,16,16.29
DELI,DELI SUPPLIES,17,7.19
DELI,DELI SUPPLIES,18,3.99
DELI,DELI SUPPLIES,19,11.07
DELI,DELI SUPPLIES,21,3.76
DELI,DELI SUPPLIES,22,3.5
DELI,DELI SUPPLIES,23,15.15
DELI,DELI SUPPLIES,24,0.9
DELI,DELI SUPPLIES,25,20.97
DELI,DELI SUPPLIES,26,3.99
DELI,DELI SUPPLIES,27,1.99
DELI,DELI SUPPLIES,28,11.65
DELI,DELI SUPPLIES,29,19.75
DELI,DELI SUPPLIES,30,6.69
DELI,DELI SUPPLIES,31,4.49
DELI,DELI SUPPLIES,32,16.01
DELI,DELI SUPPLIES,33,10.98
DELI,DELI SUPPLIES,34,9.08
DELI,DELI SUPPLIES,35,3.05
DELI,DELI SUPPLIES,36,5.98
DELI,DELI SUPPLIES,37,6.6
DELI,DELI SUPPLIES,38,8.58
DELI,DELI SUPPLIES,39,6.14
DELI,DELI SUPPLIES,40,3.5
DELI,DELI SUPPLIES,41,1.75
DELI,DELI SUPPLIES,42,12.24
DELI,DELI SUPPLIES,43,1.0
DELI,DELI SUPPLIES,44,14.23
DELI,DELI SUPPLIES,46,15.02
DELI,DELI SUPPLIES,47,4.99
DELI,DELI SUPPLIES,49,5.47
DELI,DELI SUPPLIES,50,14.01
DELI,DELI SUPPLIES,51,1.99
DELI,DELI SUPPLIES,52,29.4
DELI,DELI SUPPLIES,53,2.99
DELI,DELI SUPPLIES,54,4.58
DELI,DELI SUPPLIES,55,0.01
DELI,DELI SUPPLIES,56,4.28
DELI,DELI SUPPLIES,57,4.03
DELI,DELI SUPPLIES,58,15.98
DELI,DELI SUPPLIES,59,0.81
DELI,DELI SUPPLIES,60,2.5
DELI,DELI SUPPLIES,61,16.91
DELI,DELI SUPPLIES,62,5.98
DELI,DELI SUPPLIES,63,6.9
DELI,DELI SUPPLIES,64,3.24
DELI,DELI SUPPLIES,66,15.0
DELI,DELI SUPPLIES,67,17.2
DELI,DELI SUPPLIES,68,6.84
DELI,DELI SUPPLIES,69,15.51
DELI,DELI SUPPLIES,70,5.83
DELI,DELI SUPPLIES,71,16.67
DELI,DELI SUPPLIES,72,29.08
DELI,DELI SUPPLIES,73,4.0
DELI,DELI SUPPLIES,74,17.66
DELI,DELI SUPPLIES,75,11.43
DELI,DELI SUPPLIES,76,1.99
DELI,DELI SUPPLIES,78,1.5
DELI,DELI SUPPLIES,79,10.74
DELI,DELI SUPPLIES,80,13.86
DELI,DELI SUPPLIES,81,6.42
DELI,DELI SUPPLIES,82,4.59
DELI,DELI SUPPLIES,83,3.99
DELI,DELI SUPPLIES,84,8.39
DELI,DELI SUPPLIES,86,7.11
DELI,DELI SUPPLIES,88,7.49
DELI,DELI SUPPLIES,89,16.1
DELI,DELI SUPPLIES,90,33.6
DELI,DELI SUPPLIES,91,1.41
DELI,DELI SUPPLIES,92,12.2
DELI,DELI SUPPLIES,93,8.83
DELI,DELI SUPPLIES,94,0.0
DELI,DELI SUPPLIES,96,13.3
DELI,DELI SUPPLIES,97,21.12
DELI,DELI SUPPLIES,98,11.83
DELI,DELI SUPPLIES,99,7.91
DELI,DELI SUPPLIES,100,13.4
DELI,DELI SUPPLIES,101,11.98
DELI,PARTY TRAYS,1,128.97
DELI,PARTY TRAYS,3,22.99
DELI,PARTY TRAYS,6,42.99
DELI,PARTY TRAYS,7,72.96
DELI,PARTY TRAYS,8,9.99
DELI,PARTY TRAYS,9,17.98
DELI,PARTY TRAYS,10,9.99
DELI,PARTY TRAYS,12,9.99
DELI,PARTY TRAYS,13,4.31
DELI,PARTY TRAYS,14,19.98
DELI,PARTY TRAYS,15,23.98
DELI,PARTY TRAYS,16,23.98
DELI,PARTY TRAYS,17,33.97
DELI,PARTY TRAYS,18,14.98
DELI,PARTY TRAYS,19,19.98
DELI,PARTY TRAYS,20,23.98
DELI,PARTY TRAYS,21,19.98
DELI,PARTY TRAYS,22,34.94
DELI,PARTY TRAYS,23,48.96
DELI,PARTY TRAYS,24,44.68
DELI,PARTY TRAYS,25,49.95
DELI,PARTY TRAYS,26,104.94
DELI,PARTY TRAYS,27,34.98
DELI,PARTY TRAYS,28,14.14
DELI,PARTY TRAYS,29,29.98
DELI,PARTY TRAYS,30,39.96
DELI,PARTY TRAYS,32,182.93
DELI,PARTY TRAYS,33,56.94
DELI,PARTY TRAYS,34,33.97
DELI,PARTY TRAYS,35,97.94
DELI,PARTY TRAYS,36,154.91
DELI,PARTY TRAYS,37,86.95
DELI,PARTY TRAYS,38,42.96
DELI,PARTY TRAYS,39,71.95
DELI,PARTY TRAYS,40,374.73
DELI,PARTY TRAYS,41,283.85
DELI,PARTY TRAYS,42,134.93
DELI,PARTY TRAYS,43,81.95
DELI,PARTY TRAYS,45,19.98
DELI,PARTY TRAYS,46,58.95
DELI,PARTY TRAYS,47,73.95
DELI,PARTY TRAYS,48,56.96
DELI,PARTY TRAYS,49,127.28
DELI,PARTY TRAYS,50,28.49
DELI,PARTY TRAYS,51,19.98
DELI,PARTY TRAYS,52,152.93
DELI,PARTY TRAYS,53,64.95
DELI,PARTY TRAYS,54,39.96
DELI,PARTY TRAYS,55,21.98
DELI,PARTY TRAYS,56,68.95
DELI,PARTY TRAYS,57,37.97
DELI,PARTY TRAYS,58,67.94
DELI,PARTY TRAYS,59,74.95
DELI,PARTY TRAYS,60,139.93
DELI,PARTY TRAYS,61,83.92
DELI,PARTY TRAYS,62,190.86
DELI,PARTY TRAYS,63,95.94
DELI,PARTY TRAYS,64,129.61
DELI,PARTY TRAYS,65,69.93
DELI,PARTY TRAYS,66,19.98
DELI,PARTY TRAYS,67,33.97
DELI,PARTY TRAYS,68,47.96
DELI,PARTY TRAYS,69,19.98
DELI,PARTY TRAYS,70,149.93
DELI,PARTY TRAYS,71,54.97
DELI,PARTY TRAYS,72,12.99
DELI,PARTY TRAYS,73,43.96
DELI,PARTY TRAYS,74,43.96
DELI,PARTY TRAYS,75,24.98
DELI,PARTY TRAYS,76,132.94
DELI,PARTY TRAYS,77,69.95
DELI,PARTY TRAYS,78,80.92
DELI,PARTY TRAYS,79,37.97
DELI,PARTY TRAYS,80,83.96
DELI,PARTY TRAYS,82,18.98
DELI,PARTY TRAYS,84,103.9
DELI,PARTY TRAYS,85,75.93
DELI,PARTY TRAYS,86,66.96
DELI,PARTY TRAYS,87,43.96
DELI,PARTY TRAYS,88,76.93
DELI,PARTY TRAYS,89,76.95
DELI,PARTY TRAYS,90,44.96
DELI,PARTY TRAYS,91,128.88
DELI,PARTY TRAYS,92,296.26
DELI,PARTY TRAYS,93,140.36
DELI,PARTY TRAYS,94,6.49
DELI,PARTY TRAYS,95,63.97
DELI,PARTY TRAYS,96,114.92
DELI,PARTY TRAYS,97,128.93
DELI,PARTY TRAYS,98,220.83
DELI,PARTY TRAYS,99,22.98
DELI,PARTY TRAYS,100,26.97
DELI,PARTY TRAYS,101,13.99
DELI,PARTY TRAYS,102,33.97
DELI,PREPARED FOOD,1,20.25
DELI,PREPARED FOOD,2,20.41
DELI,PREPARED FOOD,3,22.11
DELI,PREPARED FOOD,4,74.32
DELI,PREPARED FOOD,5,34.49
DELI,PREPARED FOOD,6,34.04
DELI,PREPARED FOOD,7,130.29
DELI,PREPARED FOOD,8,72.31
DELI,PREPARED FOOD,9,93.91
DELI,PREPARED FOOD,10,117.78
DELI,PREPARED FOOD,11,120.3
DELI,PREPARED FOOD,12,130.36
DELI,PREPARED FOOD,13,144.73
DELI,PREPARED FOOD,14,181.96
DELI,PREPARED FOOD,15,130.07
DELI,PREPARED FOOD,16,180.78
DELI,PREPARED FOOD,17,184.17
DELI,PREPARED FOOD,18,246.29
DELI,PREPARED FOOD,19,231.74
DELI,PREPARED FOOD,20,196.1
DELI,PREPARED FOOD,21,208.67
DELI,PREPARED FOOD,22,190.96
DELI,PREPARED FOOD,23,128.82
DELI,PREPARED FOOD,24,193.81
DELI,PREPARED FOOD,25,176.23
DELI,PREPARED FOOD,26,181.47
DELI,PREPARED FOOD,27,252.8
DELI,PREPARED FOOD,28,222.91
DELI,PREPARED FOOD,29,175.92
DELI,PREPARED FOOD,30,228.84
DELI,PREPARED FOOD,31,211.0
DELI,PREPARED FOOD,32,212.0
DELI,PREPARED FOOD,33,205.68
DELI,PREPARED FOOD,34,300.09
DELI,PREPARED FOOD,35,259.14
DELI,PREPARED FOOD,36,569.81
DELI,PREPARED FOOD,37,258.45
DELI,PREPARED FOOD,38,218.91
DELI,PREPARED FOOD,39,267.64
DELI,PREPARED FOOD,40,443.85
DELI,PREPARED FOOD,41,243.63
DELI,PREPARED FOOD,42,211.92
DELI,PREPARED FOOD,43,258.18
DELI,PREPARED FOOD,44,212.21
DELI,PREPARED FOOD,45,188.68
DELI,PREPARED FOOD,46,235.47
DELI,PREPARED FOOD,47,226.27
DELI,PREPARED FOOD,48,276.03
DELI,PREPARED FOOD,49,167.91
DELI,PREPARED FOOD,50,180.95
DELI,PREPARED FOOD,51,200.11
DELI,PREPARED FOOD,52,177.15
